category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
NetworkNeighborAL	CL.942	65	137	4932	YAL025C,YBR247C,YCL059C,YDL014W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL099W,YGL171W,YGR103W,YGR128C,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIL091C,YIR026C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YKL143W,YKR081C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR186W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,ENP1,KRR1,NOP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,LSG1,ROK1,NOP7,UTP8,SDA1,IPI1,RPF1,NMD3,RIX1,UTP25,YVH1,HCA4,ALB1,MPP10,MAK11,RRP14,LTV1,RPF2,DRS1,SOF1,RIX7,RLP24,BUD20,EMG1,AFG2,UTP14,UTP15,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,NIP7,BMS1,NEW1,RRP9	9.87e-14	4.61e-11	preribosome
NetworkNeighborAL	CL.941	66	143	4932	YAL025C,YBR247C,YCL059C,YDL014W,YDL051W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL099W,YGL171W,YGR103W,YGR128C,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIL091C,YIR026C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YKL143W,YKR081C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR186W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,ENP1,KRR1,NOP1,LHP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,LSG1,ROK1,NOP7,UTP8,SDA1,IPI1,RPF1,NMD3,RIX1,UTP25,YVH1,HCA4,ALB1,MPP10,MAK11,RRP14,LTV1,RPF2,DRS1,SOF1,RIX7,RLP24,BUD20,EMG1,AFG2,UTP14,UTP15,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,NIP7,BMS1,NEW1,RRP9	1.71e-13	4.61e-11	preribosome
NetworkNeighborAL	CL.939	70	155	4932	YAL025C,YBR247C,YCL059C,YDL014W,YDL051W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL099W,YGL171W,YGR103W,YGR128C,YGR159C,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIL091C,YIR026C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YKL143W,YKR081C,YKR092C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,ENP1,KRR1,NOP1,LHP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,LSG1,ROK1,NOP7,UTP8,NSR1,SDA1,IPI1,RPF1,NMD3,RIX1,UTP25,YVH1,HCA4,ALB1,MPP10,MAK11,RRP14,LTV1,RPF2,SRP40,DRS1,SOF1,RIX7,RLP24,BUD20,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,NIP7,BMS1,NEW1,RRP9	6.5e-14	4.61e-11	preribosome, and pseudouridine synthesis
NetworkNeighborAL	CL.935	72	169	4932	YAL025C,YBR247C,YCL059C,YDL014W,YDL051W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL099W,YGL120C,YGL171W,YGR103W,YGR128C,YGR159C,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIL091C,YIR026C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YKL143W,YKR081C,YKR092C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR239C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,ENP1,KRR1,NOP1,LHP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,LSG1,PRP43,ROK1,NOP7,UTP8,NSR1,SDA1,IPI1,RPF1,NMD3,RIX1,UTP25,YVH1,HCA4,ALB1,MPP10,MAK11,RRP14,LTV1,RPF2,SRP40,DRS1,SOF1,RIX7,RLP24,BUD20,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,ECM16,RRP5,RNT1,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,NIP7,BMS1,NEW1,RRP9	2.73e-13	4.61e-11	Ribosome biogenesis, and preribosome
NetworkNeighborAL	CL.932	73	172	4932	YAL025C,YBR247C,YCL059C,YDL014W,YDL051W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL099W,YGL120C,YGL171W,YGR103W,YGR128C,YGR159C,YGR187C,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIL091C,YIR026C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YKL143W,YKR081C,YKR092C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR239C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,ENP1,KRR1,NOP1,LHP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,LSG1,PRP43,ROK1,NOP7,UTP8,NSR1,HGH1,SDA1,IPI1,RPF1,NMD3,RIX1,UTP25,YVH1,HCA4,ALB1,MPP10,MAK11,RRP14,LTV1,RPF2,SRP40,DRS1,SOF1,RIX7,RLP24,BUD20,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,ECM16,RRP5,RNT1,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,NIP7,BMS1,NEW1,RRP9	2.1e-13	4.61e-11	Ribosome biogenesis, and preribosome
NetworkNeighborAL	CL.1092	34	65	4932	YAL025C,YDR060W,YDR083W,YDR101C,YDR496C,YER002W,YER126C,YGL099W,YGR103W,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YIR026C,YJL122W,YKL021C,YKR081C,YLL008W,YLL034C,YLR009W,YLR074C,YLR397C,YMR290C,YNL002C,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YPL043W,YPL211W,YPL226W	MAK16,MAK21,RRP8,ARX1,PUF6,NOP16,NSA2,LSG1,NOP7,SDA1,IPI1,RPF1,NMD3,RIX1,YVH1,ALB1,MAK11,RPF2,DRS1,RIX7,RLP24,BUD20,AFG2,HAS1,RLP7,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,NOP4,NIP7,NEW1	1.89e-8	1.92e-6	preribosome, large subunit precursor
NetworkNeighborAL	CL.1094	30	57	4932	YAL025C,YDR060W,YDR083W,YDR101C,YDR496C,YER002W,YER126C,YGL099W,YGR103W,YGR245C,YHR085W,YHR088W,YHR170W,YHR197W,YKL021C,YKR081C,YLL008W,YLL034C,YLR009W,YLR074C,YMR290C,YNL002C,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YPL043W,YPL211W	MAK16,MAK21,RRP8,ARX1,PUF6,NOP16,NSA2,LSG1,NOP7,SDA1,IPI1,RPF1,NMD3,RIX1,MAK11,RPF2,DRS1,RIX7,RLP24,BUD20,HAS1,RLP7,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,NOP4,NIP7	1.22e-7	1.08e-5	preribosome, large subunit precursor, and Rix1 complex
NetworkNeighborAL	CL.949	25	46	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDR299W,YDR324C,YDR398W,YER082C,YGL171W,YGR128C,YIL091C,YJL033W,YJR002W,YLL011W,YLR186W,YML093W,YMR093W,YMR128W,YMR229C,YNL075W,YOR004W,YOR078W,YPL126W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,BFR2,UTP4,UTP5,UTP7,ROK1,UTP8,UTP25,HCA4,MPP10,SOF1,EMG1,UTP14,UTP15,ECM16,RRP5,IMP4,UTP23,BUD21,NAN1,BMS1,RRP9	9.11e-7	7.19e-5	small-subunit processome, and 90S preribosome
NetworkNeighborAL	CL.1095	26	51	4932	YAL025C,YDR060W,YDR083W,YDR101C,YDR496C,YER002W,YER126C,YGL099W,YGR103W,YGR245C,YHR088W,YHR170W,YKL021C,YKR081C,YLL008W,YLR009W,YLR074C,YMR290C,YNL002C,YNL110C,YNL175C,YNR053C,YOL041C,YOL077C,YPL043W,YPL211W	MAK16,MAK21,RRP8,ARX1,PUF6,NOP16,NSA2,LSG1,NOP7,SDA1,RPF1,NMD3,MAK11,RPF2,DRS1,RLP24,BUD20,HAS1,RLP7,NOP15,NOP13,NOG2,NOP12,BRX1,NOP4,NIP7	1.39e-6	9.85e-5	preribosome, large subunit precursor
NetworkNeighborAL	CL.943	31	72	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDL153C,YDR299W,YDR324C,YDR398W,YER082C,YER127W,YFL002C,YGL171W,YGR128C,YIL091C,YJL033W,YJR002W,YKL082C,YKL143W,YLL011W,YLR186W,YML093W,YMR093W,YMR128W,YMR229C,YNL075W,YOR004W,YOR078W,YOR145C,YPL126W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,SAS10,BFR2,UTP4,UTP5,UTP7,LCP5,SPB4,ROK1,UTP8,UTP25,HCA4,MPP10,RRP14,LTV1,SOF1,EMG1,UTP14,UTP15,ECM16,RRP5,IMP4,UTP23,BUD21,PNO1,NAN1,BMS1,RRP9	2.28e-6	1.5e-4	90S preribosome, and endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
NetworkNeighborAL	CL.950	20	33	4932	YCL059C,YDL014W,YDL148C,YDR324C,YDR398W,YER082C,YGL171W,YGR128C,YIL091C,YJR002W,YLL011W,YLR186W,YML093W,YMR229C,YNL075W,YOR004W,YOR078W,YPL126W,YPL217C,YPR137W	KRR1,NOP1,NOP14,UTP4,UTP5,UTP7,ROK1,UTP8,UTP25,MPP10,SOF1,EMG1,UTP14,RRP5,IMP4,UTP23,BUD21,NAN1,BMS1,RRP9	3.38e-6	1.8e-4	small-subunit processome
NetworkNeighborAL	CL.944	29	66	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDL153C,YDR299W,YDR324C,YDR398W,YER082C,YER127W,YFL002C,YGL171W,YGR128C,YIL091C,YJL033W,YJR002W,YKL082C,YLL011W,YLR186W,YML093W,YMR093W,YMR128W,YMR229C,YNL075W,YOR004W,YOR078W,YPL126W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,SAS10,BFR2,UTP4,UTP5,UTP7,LCP5,SPB4,ROK1,UTP8,UTP25,HCA4,MPP10,RRP14,SOF1,EMG1,UTP14,UTP15,ECM16,RRP5,IMP4,UTP23,BUD21,NAN1,BMS1,RRP9	3.56e-6	1.8e-4	90S preribosome, and endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
NetworkNeighborAL	CL.946	26	59	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDR299W,YDR324C,YDR398W,YER082C,YFL002C,YGL171W,YGR128C,YIL091C,YJL033W,YJR002W,YLL011W,YLR186W,YML093W,YMR093W,YMR128W,YMR229C,YNL075W,YOR004W,YOR078W,YPL126W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,BFR2,UTP4,UTP5,UTP7,SPB4,ROK1,UTP8,UTP25,HCA4,MPP10,SOF1,EMG1,UTP14,UTP15,ECM16,RRP5,IMP4,UTP23,BUD21,NAN1,BMS1,RRP9	1.11e-5	5.2e-4	90S preribosome
