category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
KEGG	map01210	8	32	4932	YDL182W,YDR158W,YER052C,YER069W,YJL200C,YMR062C,YNL104C,YOL140W	LYS20,HOM2,HOM3,ARG5,6,ACO2,ARG7,LEU4,ARG8	2.64e-5	2.3e-4	2-Oxocarboxylic acid metabolism
KEGG	map00220	6	15	4932	YER069W,YHR018C,YJL088W,YMR062C,YOL058W,YOL140W	ARG5,6,ARG4,ARG3,ARG7,ARG1,ARG8	3.31e-5	2.5e-4	Arginine biosynthesis
KEGG	map00400	5	16	4932	YBR249C,YDR035W,YDR354W,YHR137W,YIL116W	ARO4,ARO3,TRP4,ARO9,HIS5	4e-4	0.0026	Phenylalanine, tyrosine and tryptophan biosynthesis
KEGG	map00250	6	26	4932	YFL030W,YGR019W,YHR018C,YJR109C,YOL058W,YPR145W	AGX1,UGA1,ARG4,CPA2,ARG1,ASN1	4.2e-4	0.0026	Alanine, aspartate and glutamate metabolism
KEGG	map00340	4	12	4932	YCL030C,YER055C,YIL116W,YMR169C	HIS4,HIS1,HIS5,ALD3	0.0013	0.0068	Histidine metabolism
KEGG	map00350	4	14	4932	YGL256W,YHR137W,YIL116W,YMR169C	ADH4,ARO9,HIS5,ALD3	0.0021	0.01	Tyrosine metabolism
KEGG	map00260	5	30	4932	YDR019C,YDR158W,YER052C,YER081W,YFL030W	GCV1,HOM2,HOM3,SER3,AGX1	0.0045	0.0195	Glycine, serine and threonine metabolism
KEGG	map00360	3	9	4932	YHR137W,YIL116W,YMR169C	ARO9,HIS5,ALD3	0.0056	0.0224	Phenylalanine metabolism
KEGG	map00261	2	3	4932	YDR158W,YER052C	HOM2,HOM3	0.0094	0.0351	Monobactam biosynthesis
Keyword	KW-0028	25	83	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFR030W,YHR018C,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YNL104C,YOL058W,YOL140W,YPR145W,YPR167C	LYS2,MET8,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,MET10,ARG4,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,LEU4,ARG1,ARG8,ASN1,MET16	4.3e-16	6.11e-14	Amino-acid biosynthesis
Keyword	KW-0055	7	8	4932	YER069W,YHR018C,YJL088W,YJR109C,YMR062C,YOL058W,YOL140W	ARG5,6,ARG4,ARG3,CPA2,ARG7,ARG1,ARG8	1.41e-7	9.98e-6	Arginine biosynthesis
Keyword	KW-0457	5	9	4932	YBR115C,YDL182W,YDR158W,YIR034C,YJL200C	LYS2,LYS20,HOM2,LYS1,ACO2	4.73e-5	0.0022	Lysine biosynthesis
Keyword	KW-0032	6	17	4932	YDR019C,YFL030W,YGR019W,YHR137W,YIL116W,YOL140W	GCV1,AGX1,UGA1,ARO9,HIS5,ARG8	5.85e-5	0.0022	Aminotransferase
Keyword	KW-0663	8	46	4932	YFL030W,YGR019W,YHR137W,YIL116W,YKL218C,YMR096W,YMR289W,YOL140W	AGX1,UGA1,ARO9,HIS5,SRY1,SNZ1,ABZ2,ARG8	2.5e-4	0.007	Pyridoxal phosphate
Keyword	KW-0511	6	28	4932	YBR213W,YBR218C,YCL030C,YER069W,YMR062C,YMR120C	MET8,PYC2,HIS4,ARG5,6,ARG7,ADE17	5.9e-4	0.0139	Multifunctional enzyme
Keyword	KW-0808	24	391	4932	YBR249C,YDL182W,YDR019C,YDR035W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER175C,YFL030W,YFR015C,YGR019W,YHR137W,YIL116W,YJL088W,YMR062C,YMR120C,YNL020C,YNL104C,YNL191W,YNR019W,YOL055C,YOL140W	ARO4,LYS20,GCV1,ARO3,TRP4,APT2,HOM3,HIS1,ARG5,6,TMT1,AGX1,GSY1,UGA1,ARO9,HIS5,ARG3,ARG7,ADE17,ARK1,LEU4,DUG3,ARE2,THI20,ARG8	0.002	0.041	Transferase
Keyword	KW-0560	15	194	4932	YBR115C,YBR213W,YCL030C,YDR158W,YER069W,YER081W,YFR030W,YGL256W,YHL021C,YIR034C,YJL052W,YJR025C,YMR169C,YPL171C,YPR167C	LYS2,MET8,HIS4,HOM2,ARG5,6,SER3,MET10,ADH4,AIM17,LYS1,TDH1,BNA1,ALD3,OYE3,MET16	0.0021	0.041	Oxidoreductase
NetworkNeighborAL	CL.5105	20	60	4932	YBR115C,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YHR018C,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YMR289W,YOL058W,YOL140W	LYS2,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,ARG4,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,ABZ2,ARG1,ARG8	1.2e-13	3.5e-11	Amino-acid biosynthesis, and Arginine and proline metabolism
NetworkNeighborAL	CL.4933	29	161	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER081W,YFR030W,YHR018C,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YMR120C,YMR289W,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,APT2,HOM3,HIS1,ARG5,6,SER3,MET10,ARG4,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,ADE17,ABZ2,ARG1,MET22,ARG8,ASN1,MET16	1.5700000000000001e-13	3.5e-11	cellular amino acid biosynthetic process, and Metabolism of nucleotides
NetworkNeighborAL	CL.4934	25	138	4932	YBR115C,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER081W,YHR018C,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YMR120C,YMR289W,YOL058W,YOL140W,YPR145W	LYS2,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,APT2,HOM3,HIS1,ARG5,6,SER3,ARG4,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,ADE17,ABZ2,ARG1,ARG8,ASN1	9.99e-12	7.29e-10	cellular amino acid biosynthetic process, and Metabolism of nucleotides
NetworkNeighborAL	CL.5106	13	42	4932	YBR115C,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YIL116W,YIR034C,YJL200C,YMR289W	LYS2,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,HIS5,LYS1,ACO2,ABZ2	7.47e-9	4.36e-7	Amino-acid biosynthesis
NetworkNeighborAL	CL.5203	6	6	4932	YER069W,YHR018C,YJL088W,YMR062C,YOL058W,YOL140W	ARG5,6,ARG4,ARG3,ARG7,ARG1,ARG8	7.12e-7	3.46e-5	arginine biosynthetic process
NetworkNeighborAL	CL.5107	9	33	4932	YBR249C,YCL030C,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YIL116W,YMR289W	ARO4,HIS4,ARO3,HOM2,TRP4,HOM3,HIS1,HIS5,ABZ2	4.36e-6	1.8e-4	aromatic amino acid family biosynthetic process, and branched-chain amino acid biosynthetic process
NetworkNeighborAL	CL.5206	5	5	4932	YER069W,YHR018C,YJL088W,YMR062C,YOL058W	ARG5,6,ARG4,ARG3,ARG7,ARG1	6.6e-6	2.4e-4	Arginine biosynthesis
NetworkNeighborAL	CL.5201	7	18	4932	YER069W,YHR018C,YJL088W,YJR109C,YMR062C,YOL058W,YOL140W	ARG5,6,ARG4,ARG3,CPA2,ARG7,ARG1,ARG8	8.08e-6	2.6e-4	arginine metabolic process, and polyamine metabolic process
NetworkNeighborAL	CL.5108	7	19	4932	YBR249C,YCL030C,YDR035W,YDR354W,YER055C,YIL116W,YMR289W	ARO4,HIS4,ARO3,TRP4,HIS1,HIS5,ABZ2	1.08e-5	3.1e-4	aromatic amino acid family biosynthetic process, and Histidine biosynthesis
NetworkNeighborAL	CL.5180	4	9	4932	YBR115C,YDL182W,YIR034C,YJL200C	LYS2,LYS20,LYS1,ACO2	5.6e-4	0.0148	Lysine biosynthesis
NetworkNeighborAL	CL.5299	4	10	4932	YBR213W,YFR030W,YOL064C,YPR167C	MET8,MET10,MET22,MET16	7.6e-4	0.0185	sulfate assimilation, and Cbf1-Met4-Met28 complex
NetworkNeighborAL	CL.5110	4	10	4932	YCL030C,YDR354W,YER055C,YIL116W	HIS4,TRP4,HIS1,HIS5	7.6e-4	0.0185	tryptophan biosynthetic process, and Histidine biosynthesis
PMID	PMID.31622418	16	63	4932	YCL030C,YDL198C,YDR035W,YDR158W,YER052C,YER069W,YER175C,YGL255W,YIL116W,YIR034C,YJR109C,YMR062C,YNL104C,YOL058W,YOL064C,YPR145W	HIS4,GGC1,ARO3,HOM2,HOM3,ARG5,6,TMT1,ZRT1,HIS5,LYS1,CPA2,ARG7,LEU4,ARG1,MET22,ASN1	1.35e-9	9.76e-6	(2019) Effects of MCHM on yeast metabolism.
PMID	PMID.28754723	15	55	4932	YBR115C,YCL030C,YDL182W,YER055C,YER069W,YHR018C,YIL116W,YIR034C,YJL088W,YML041C,YMR062C,YMR198W,YNL104C,YOL058W,YOL140W	LYS2,HIS4,LYS20,HIS1,ARG5,6,ARG4,HIS5,LYS1,ARG3,VPS71,ARG7,CIK1,LEU4,ARG1,ARG8	2.04e-9	9.76e-6	(2017) A Functional Link Between Bir1 and the Saccharomyces cerevisiae Ctf19 Kinetochore Complex Revealed Through Quantitative Fitness Analysis.
PMID	PMID.22916735	11	35	4932	YBR249C,YDL198C,YDR035W,YER055C,YER069W,YER081W,YGL255W,YIL116W,YIR034C,YOL058W,YOL140W	ARO4,GGC1,ARO3,HIS1,ARG5,6,SER3,ZRT1,HIS5,LYS1,ARG1,ARG8	1.03e-7	2.5e-4	(2012) Transcriptomics in human blood incubation reveals the importance of oxidative stress response in Saccharomyces cerevisiae clinical strains.
PMID	PMID.31799324	13	67	4932	YBR115C,YBR213W,YDL182W,YER052C,YER069W,YFR030W,YHR018C,YIR034C,YJL088W,YMR062C,YOL064C,YOL140W,YPR167C	LYS2,MET8,LYS20,HOM3,ARG5,6,MET10,ARG4,LYS1,ARG3,ARG7,MET22,ARG8,MET16	8.41e-7	0.0015	(2019) Transcriptomic and chemogenomic analyses unveil the essential role of Com2-regulon in response and tolerance of Saccharomyces cerevisiae to stress induced by sulfur dioxide.
PMID	PMID.28435838	8	22	4932	YER069W,YER175C,YFR030W,YGL117W,YGL255W,YHR018C,YJL088W,YOL140W	ARG5,6,TMT1,MET10,YGL117W,ZRT1,ARG4,ARG3,ARG8	2.62e-6	0.0028	(2017) Thiol trapping and metabolic redistribution of sulfur metabolites enable cells to overcome cysteine overload.
PMID	PMID.25753421	8	21	4932	YDR049W,YER069W,YHR018C,YIR034C,YJL088W,YMR062C,YOL058W,YOL140W	VMS1,ARG5,6,ARG4,LYS1,ARG3,ARG7,ARG1,ARG8	1.97e-6	0.0028	(2015) Accumulation of Basic Amino Acids at Mitochondria Dictates the Cytotoxicity of Aberrant Ubiquitin.
PMID	PMID.25408465	10	39	4932	YBR115C,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YHR018C,YNL104C,YPR145W	LYS2,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,ARG4,LEU4,ASN1	1.99e-6	0.0028	(2015) Inhibitors of amino acids biosynthesis as antifungal agents.
PMID	PMID.23749449	15	107	4932	YBR218C,YDR158W,YDR354W,YER052C,YER081W,YFL030W,YHR018C,YJL052W,YJL088W,YJL200C,YMR120C,YOL055C,YOL058W,YPR145W,YPR167C	PYC2,HOM2,TRP4,HOM3,SER3,AGX1,ARG4,TDH1,ARG3,ACO2,ADE17,THI20,ARG1,ASN1,MET16	4.48e-6	0.004	(2013) Phylogenetic portrait of the Saccharomyces cerevisiae functional genome.
PMID	PMID.29564399	7	21	4932	YER055C,YER069W,YGR019W,YHR018C,YJL088W,YJR109C,YOL058W	HIS1,ARG5,6,UGA1,ARG4,ARG3,CPA2,ARG1	1.84e-5	0.0139	(2018) Dal81 Regulates Expression of Arginine Metabolism Genes in Candida parapsilosis.
PMID	PMID.26865023	6	13	4932	YER069W,YHR018C,YIL116W,YJL088W,YOL058W,YOL140W	ARG5,6,ARG4,HIS5,ARG3,ARG1,ARG8	1.74e-5	0.0139	(2016) Effects of three permeases on arginine utilization in Saccharomyces cerevisiae.
PMID	PMID.30505294	9	42	4932	YBR213W,YCL030C,YDR019C,YER055C,YER069W,YHR018C,YJL088W,YJR109C,YOL140W	MET8,HIS4,GCV1,HIS1,ARG5,6,ARG4,ARG3,CPA2,ARG8	2.35e-5	0.0154	(2018) Comparative Transcriptomics Highlights New Features of the Iron Starvation Response in the Human Pathogen Candida glabrata.
PMID	PMID.26083446	5	9	4932	YBR115C,YCL030C,YHR018C,YJL088W,YKL164C	LYS2,HIS4,ARG4,ARG3,PIR1	4.73e-5	0.0284	(2015) Yeast Surface Display of Two Proteins Previously Shown to Be Protective Against White Spot Syndrome Virus (WSSV) in Shrimp.
PMID	PMID.31022239	10	60	4932	YBR115C,YBR213W,YCL030C,YER020W,YFR015C,YHR018C,YIL116W,YMR062C,YNL104C,YOL058W	LYS2,MET8,HIS4,GPA2,GSY1,ARG4,HIS5,ARG7,LEU4,ARG1	5.51e-5	0.0305	(2019) Relief from nitrogen starvation entails quick unexpected down-regulation of glycolyticlipid metabolism genes in enological Saccharomyces cerevisiae.
PMID	PMID.21943358	8	39	4932	YBR115C,YBR218C,YDL182W,YER052C,YER111C,YJR109C,YMR169C,YOL058W	LYS2,PYC2,LYS20,HOM3,SWI4,CPA2,ALD3,ARG1	8.98e-5	0.0462	(2011) How yeast re-programmes its transcriptional profile in response to different nutrient impulses.
Process	GO.0008652	30	115	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YHR018C,YHR137W,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YMR169C,YMR289W,YNL104C,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ARG4,ARO9,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,ALD3,ABZ2,LEU4,ARG1,MET22,ARG8,ASN1,MET16	7.54e-18	8.32e-15	cellular amino acid biosynthetic process
Process	GO.0006520	36	199	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YGL256W,YGR019W,YHR018C,YHR137W,YIL116W,YIR034C,YJL088W,YJL200C,YJR025C,YJR109C,YKL218C,YMR062C,YMR169C,YMR289W,YNL104C,YNL191W,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ADH4,UGA1,ARG4,ARO9,HIS5,LYS1,ARG3,ACO2,BNA1,CPA2,SRY1,ARG7,ALD3,ABZ2,LEU4,DUG3,ARG1,MET22,ARG8,ASN1,MET16	5.32e-17	2.94e-14	cellular amino acid metabolic process
Process	GO.1901607	27	108	4932	YBR115C,YBR213W,YCL030C,YDL182W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YHR018C,YHR137W,YIL116W,YIR034C,YJL088W,YJL200C,YJR109C,YMR062C,YMR289W,YNL104C,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,HIS4,LYS20,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ARG4,ARO9,HIS5,LYS1,ARG3,ACO2,CPA2,ARG7,ABZ2,LEU4,ARG1,MET22,ARG8,ASN1,MET16	1.22e-15	4.47e-13	alpha-amino acid biosynthetic process
Process	GO.1901605	30	158	4932	YBR115C,YBR213W,YCL030C,YDL182W,YDR019C,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YHR018C,YHR137W,YIL116W,YIR034C,YJL088W,YJL200C,YJR025C,YJR109C,YMR062C,YMR289W,YNL104C,YNL191W,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,HIS4,LYS20,GCV1,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ARG4,ARO9,HIS5,LYS1,ARG3,ACO2,BNA1,CPA2,ARG7,ABZ2,LEU4,DUG3,ARG1,MET22,ARG8,ASN1,MET16	1.51e-14	4.16e-12	alpha-amino acid metabolic process
Process	GO.0046394	31	173	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YHR018C,YHR137W,YIL116W,YIR034C,YJL052W,YJL088W,YJL200C,YJR109C,YMR062C,YMR169C,YMR289W,YNL104C,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ARG4,ARO9,HIS5,LYS1,TDH1,ARG3,ACO2,CPA2,ARG7,ALD3,ABZ2,LEU4,ARG1,MET22,ARG8,ASN1,MET16	1.99e-14	4.4e-12	carboxylic acid biosynthetic process
Process	GO.0044283	37	271	4932	YBR115C,YBR213W,YBR218C,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YGL256W,YHR018C,YHR137W,YIL116W,YIR034C,YJL052W,YJL088W,YJL200C,YJR109C,YMR062C,YMR096W,YMR169C,YMR289W,YNL104C,YOL055C,YOL058W,YOL064C,YOL066C,YOL140W,YPR145W,YPR167C	LYS2,MET8,PYC2,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,APT2,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ADH4,ARG4,ARO9,HIS5,LYS1,TDH1,ARG3,ACO2,CPA2,ARG7,SNZ1,ALD3,ABZ2,LEU4,THI20,ARG1,MET22,RIB2,ARG8,ASN1,MET16	6.29e-14	9.92e-12	small molecule biosynthetic process
Process	GO.0019752	38	305	4932	YBR115C,YBR213W,YBR218C,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YGL256W,YGR019W,YHR018C,YHR137W,YIL116W,YIR034C,YJL052W,YJL088W,YJL200C,YJR025C,YJR109C,YKL218C,YMR062C,YMR169C,YMR289W,YNL104C,YNL191W,YOL058W,YOL064C,YOL140W,YPR145W,YPR167C	LYS2,MET8,PYC2,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,ADH4,UGA1,ARG4,ARO9,HIS5,LYS1,TDH1,ARG3,ACO2,BNA1,CPA2,SRY1,ARG7,ALD3,ABZ2,LEU4,DUG3,ARG1,MET22,ARG8,ASN1,MET16	3.65e-13	5.03e-11	carboxylic acid metabolic process
Process	GO.0044281	47	545	4932	YBR115C,YBR213W,YBR218C,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR030W,YGL156W,YGL256W,YGR019W,YHR018C,YHR137W,YIL116W,YIR029W,YIR034C,YJL052W,YJL088W,YJL200C,YJR025C,YJR109C,YKL218C,YLR245C,YMR062C,YMR096W,YMR120C,YMR169C,YMR289W,YNL104C,YNL191W,YNR019W,YOL055C,YOL058W,YOL064C,YOL066C,YOL140W,YPR145W,YPR167C	LYS2,MET8,PYC2,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,APT2,HOM3,HIS1,ARG5,6,SER3,AGX1,MET10,AMS1,ADH4,UGA1,ARG4,ARO9,HIS5,DAL2,LYS1,TDH1,ARG3,ACO2,BNA1,CPA2,SRY1,CDD1,ARG7,SNZ1,ADE17,ALD3,ABZ2,LEU4,DUG3,ARE2,THI20,ARG1,MET22,RIB2,ARG8,ASN1,MET16	4.93e-11	4.95e-9	small molecule metabolic process
Process	GO.0009067	12	47	4932	YBR115C,YBR213W,YDL182W,YDR158W,YER052C,YFR030W,YHR137W,YIR034C,YJL200C,YOL064C,YPR145W,YPR167C	LYS2,MET8,LYS20,HOM2,HOM3,MET10,ARO9,LYS1,ACO2,MET22,ASN1,MET16	1.79e-7	1.65e-5	aspartate family amino acid biosynthetic process
Process	GO.0006526	7	9	4932	YER069W,YHR018C,YJL088W,YJR109C,YMR062C,YOL058W,YOL140W	ARG5,6,ARG4,ARG3,CPA2,ARG7,ARG1,ARG8	2.44e-7	2.07e-5	arginine biosynthetic process
